Game result;Winner score;Loser score;Runtime;Rounds played;White player heuristic;Black player heuristic;White player depth;Black player depth
White pieces win;52;12;2.647;60;stability;stability;1;1
White pieces win;54;10;1.882;60;stability;corners;1;1
White pieces win;38;26;1.861;60;stability;coin_parity;1;1
Black pieces win;31;33;2.83;60;stability;mobility;1;1
Black pieces win;21;43;2.512;60;corners;stability;1;1
Black pieces win;29;35;1.889;60;corners;corners;1;1
Black pieces win;25;39;1.461;60;corners;coin_parity;1;1
Black pieces win;31;33;2.948;60;corners;mobility;1;1
White pieces win;39;25;1.691;60;coin_parity;stability;1;1
Black pieces win;29;35;1.489;60;coin_parity;corners;1;1
White pieces win;33;31;1.569;60;coin_parity;coin_parity;1;1
White pieces win;43;21;1.902;60;coin_parity;mobility;1;1
Black pieces win;25;39;2.336;60;mobility;stability;1;1
White pieces win;43;21;1.757;60;mobility;corners;1;1
White pieces win;45;19;2.433;60;mobility;coin_parity;1;1
White pieces win;39;25;3.963;60;mobility;mobility;1;1
Black pieces win;15;49;7.727;60;stability;stability;1;2
Black pieces win;8;56;4.263;60;stability;corners;1;2
Black pieces win;27;37;3.68;60;stability;coin_parity;1;2
Black pieces win;31;33;5.386;60;stability;mobility;1;2
Black pieces win;18;46;7.372;60;corners;stability;1;2
Black pieces win;20;44;3.103;60;corners;corners;1;2
Black pieces win;26;38;4.493;60;corners;coin_parity;1;2
Black pieces win;31;33;6.77;60;corners;mobility;1;2
Black pieces win;26;38;5.518;60;coin_parity;stability;1;2
Black pieces win;22;42;3.533;60;coin_parity;corners;1;2
Black pieces win;15;49;2.842;60;coin_parity;coin_parity;1;2
White pieces win;43;21;4.636;60;coin_parity;mobility;1;2
Black pieces win;22;42;8.591;60;mobility;stability;1;2
Black pieces win;20;44;5.73;60;mobility;corners;1;2
Black pieces win;27;37;4.565;60;mobility;coin_parity;1;2
White pieces win;39;25;7.477;60;mobility;mobility;1;2
White pieces win;45;19;39.811;60;stability;stability;1;3
White pieces win;45;19;30.804;60;stability;corners;1;3
White pieces win;33;31;16.143;60;stability;coin_parity;1;3
Black pieces win;31;33;16.892;60;stability;mobility;1;3
Black pieces win;22;42;57.612;60;corners;stability;1;3
White pieces win;35;29;38.191;60;corners;corners;1;3
Black pieces win;15;49;31.775;60;corners;coin_parity;1;3
Black pieces win;31;33;30.104;60;corners;mobility;1;3
White pieces win;34;30;33.204;60;coin_parity;stability;1;3
White pieces win;41;23;24.661;60;coin_parity;corners;1;3
Black pieces win;29;35;32.16;60;coin_parity;coin_parity;1;3
White pieces win;43;21;16.101;60;coin_parity;mobility;1;3
White pieces win;50;14;45.99;60;mobility;stability;1;3
White pieces win;41;23;39.662;60;mobility;corners;1;3
White pieces win;36;28;17.893;60;mobility;coin_parity;1;3
White pieces win;39;25;26.171;60;mobility;mobility;1;3
Black pieces win;31;33;6.348;60;stability;stability;2;1
White pieces win;44;20;4.818;60;stability;corners;2;1
Black pieces win;28;36;3.758;60;stability;coin_parity;2;1
White pieces win;49;15;5.568;60;stability;mobility;2;1
White pieces win;37;27;3.733;60;corners;stability;2;1
White pieces win;46;18;4.635;60;corners;corners;2;1
White pieces win;40;24;3.26;60;corners;coin_parity;2;1
White pieces win;43;21;5.778;60;corners;mobility;2;1
White pieces win;43;21;2.414;60;coin_parity;stability;2;1
White pieces win;47;17;2.561;60;coin_parity;corners;2;1
Black pieces win;31;33;2.036;60;coin_parity;coin_parity;2;1
White pieces win;44;20;4.456;60;coin_parity;mobility;2;1
Black pieces win;25;39;5.246;60;mobility;stability;2;1
White pieces win;43;21;5.226;60;mobility;corners;2;1
White pieces win;45;19;5.716;60;mobility;coin_parity;2;1
White pieces win;39;25;7.573;60;mobility;mobility;2;1
Black pieces win;25;39;13.132;60;stability;stability;2;2
Black pieces win;16;48;9.04;60;stability;corners;2;2
Black pieces win;21;43;9.5;60;stability;coin_parity;2;2
White pieces win;49;15;7.703;60;stability;mobility;2;2
White pieces win;39;25;13.321;60;corners;stability;2;2
White pieces win;33;31;8.63;60;corners;corners;2;2
White pieces win;40;24;9.154;60;corners;coin_parity;2;2
White pieces win;43;21;8.712;60;corners;mobility;2;2
White pieces win;39;24;10.28;59;coin_parity;stability;2;2
Black pieces win;23;41;7.96;60;coin_parity;corners;2;2
Black pieces win;28;36;8.823;60;coin_parity;coin_parity;2;2
White pieces win;44;20;6.944;60;coin_parity;mobility;2;2
Black pieces win;22;42;11.338;60;mobility;stability;2;2
Black pieces win;20;44;8.57;60;mobility;corners;2;2
Black pieces win;27;37;7.349;60;mobility;coin_parity;2;2
White pieces win;39;25;11.192;60;mobility;mobility;2;2
White pieces win;49;15;38.475;60;stability;stability;2;3
White pieces win;49;15;16.799;60;stability;corners;2;3
White pieces win;54;10;14.149;60;stability;coin_parity;2;3
White pieces win;49;15;14.463;60;stability;mobility;2;3
It's a tie;32;32;33.436;60;corners;stability;2;3
White pieces win;38;26;17.766;60;corners;corners;2;3
Black pieces win;27;37;16.134;60;corners;coin_parity;2;3
White pieces win;43;21;29.623;60;corners;mobility;2;3
It's a tie;32;32;28.164;60;coin_parity;stability;2;3
White pieces win;45;19;16.736;60;coin_parity;corners;2;3
Black pieces win;31;33;10.103;60;coin_parity;coin_parity;2;3
White pieces win;44;20;17.619;60;coin_parity;mobility;2;3
White pieces win;50;14;42.937;60;mobility;stability;2;3
White pieces win;41;23;38.105;60;mobility;corners;2;3
White pieces win;36;28;18.372;60;mobility;coin_parity;2;3
White pieces win;39;25;26.29;60;mobility;mobility;2;3
White pieces win;37;26;38.391;59;stability;stability;3;1
White pieces win;50;14;40.397;60;stability;corners;3;1
White pieces win;37;27;41.933;60;stability;coin_parity;3;1
White pieces win;37;27;57.796;60;stability;mobility;3;1
Black pieces win;27;37;41.044;60;corners;stability;3;1
White pieces win;33;31;38.69;60;corners;corners;3;1
It's a tie;32;32;23.662;60;corners;coin_parity;3;1
Black pieces win;16;48;19.541;60;corners;mobility;3;1
Black pieces win;20;44;10.392;60;coin_parity;stability;3;1
White pieces win;48;16;24.225;60;coin_parity;corners;3;1
White pieces win;36;28;27.087;60;coin_parity;coin_parity;3;1
Black pieces win;23;41;12.124;60;coin_parity;mobility;3;1
Black pieces win;25;39;12.847;60;mobility;stability;3;1
White pieces win;43;21;13.173;60;mobility;corners;3;1
White pieces win;45;19;25.493;60;mobility;coin_parity;3;1
White pieces win;39;25;30.765;60;mobility;mobility;3;1
White pieces win;44;20;64.617;60;stability;stability;3;2
Black pieces win;24;40;33.154;60;stability;corners;3;2
White pieces win;42;22;38.932;60;stability;coin_parity;3;2
White pieces win;37;27;62.388;60;stability;mobility;3;2
Black pieces win;23;41;42.539;60;corners;stability;3;2
Black pieces win;26;38;29.439;60;corners;corners;3;2
Black pieces win;23;41;26.022;60;corners;coin_parity;3;2
Black pieces win;16;48;23.902;60;corners;mobility;3;2
Black pieces win;31;33;12.709;60;coin_parity;stability;3;2
Black pieces win;25;39;17.849;60;coin_parity;corners;3;2
Black pieces win;19;45;12.677;60;coin_parity;coin_parity;3;2
Black pieces win;23;41;14.452;60;coin_parity;mobility;3;2
Black pieces win;22;42;25.289;60;mobility;stability;3;2
Black pieces win;20;44;21.457;60;mobility;corners;3;2
Black pieces win;27;37;20.404;60;mobility;coin_parity;3;2
White pieces win;39;25;33.415;60;mobility;mobility;3;2
White pieces win;37;27;76.389;60;stability;stability;3;3
White pieces win;43;21;72.269;60;stability;corners;3;3
Black pieces win;28;36;30.064;60;stability;coin_parity;3;3
White pieces win;37;27;82.681;60;stability;mobility;3;3
White pieces win;35;29;53.217;60;corners;stability;3;3
Black pieces win;22;42;59.395;60;corners;corners;3;3
Black pieces win;22;42;56.21;60;corners;coin_parity;3;3
Black pieces win;16;48;39.021;60;corners;mobility;3;3
Black pieces win;21;43;51.511;60;coin_parity;stability;3;3
Black pieces win;31;33;45.582;60;coin_parity;corners;3;3
Black pieces win;27;37;49.262;60;coin_parity;coin_parity;3;3
Black pieces win;23;41;24.361;60;coin_parity;mobility;3;3
White pieces win;50;14;53.678;60;mobility;stability;3;3
White pieces win;41;23;79.861;60;mobility;corners;3;3
White pieces win;36;28;37.21;60;mobility;coin_parity;3;3
White pieces win;39;25;78.318;60;mobility;mobility;3;3
